,0,1,2,3,4,5,6,7,8,9,10
0,#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
1,#group,false,false,true,true,false,false,false,false,false,true
2,#default,_result,,,,,,,,,
3,,result,table,_start,_stop,_time,_value,_field,_measurement,sensor,target
4,,,0,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:03.071Z,1.611887069905544,power,power_consumption,sensor,cpu-025
5,,,0,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:06.101Z,1.7076847315239814,power,power_consumption,sensor,cpu-025
6,,,0,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:07.107Z,1.637542868929745,power,power_consumption,sensor,cpu-025
7,,,0,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:08.114Z,1.8776940985976422,power,power_consumption,sensor,cpu-025
8,,,0,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:10.134Z,1.7263878568029392,power,power_consumption,sensor,cpu-025
9,,,0,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:12.162Z,0,power,power_consumption,sensor,cpu-025
10,#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
11,#group,false,false,true,true,false,false,false,false,false,true
12,#default,_result,,,,,,,,,
13,,result,table,_start,_stop,_time,_value,_field,_measurement,sensor,target
14,,,1,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:03.071Z,0,power,power_consumption,sensor,cpu-075
15,,,1,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:06.101Z,0,power,power_consumption,sensor,cpu-075
16,,,1,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:07.107Z,0,power,power_consumption,sensor,cpu-075
17,,,1,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:08.114Z,0,power,power_consumption,sensor,cpu-075
18,,,1,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:10.134Z,0,power,power_consumption,sensor,cpu-075
19,,,1,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:12.162Z,3.7977572402741244,power,power_consumption,sensor,cpu-075
20,#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
21,#group,false,false,true,true,false,false,false,false,false,true
22,#default,_result,,,,,,,,,
23,,result,table,_start,_stop,_time,_value,_field,_measurement,sensor,target
24,,,2,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:08.114Z,0,power,power_consumption,sensor,cpu-io-rndrd-2G-128
25,,,2,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:10.134Z,0,power,power_consumption,sensor,cpu-io-rndrd-2G-128
26,,,2,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:12.162Z,0,power,power_consumption,sensor,cpu-io-rndrd-2G-128
27,#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
28,#group,false,false,true,true,false,false,false,false,false,true
29,#default,_result,,,,,,,,,
30,,result,table,_start,_stop,_time,_value,_field,_measurement,sensor,target
31,,,3,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:12.162Z,0,power,power_consumption,sensor,cpu-io-rndrd-3G-128
32,#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
33,#group,false,false,true,true,false,false,false,false,false,true
34,#default,_result,,,,,,,,,
35,,result,table,_start,_stop,_time,_value,_field,_measurement,sensor,target
36,,,4,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:03.071Z,2.224865773086709,power,power_consumption,sensor,cpu-io-rndrd-4G-128
37,,,4,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:06.101Z,0.030084510180145452,power,power_consumption,sensor,cpu-io-rndrd-4G-128
38,,,4,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:07.107Z,0,power,power_consumption,sensor,cpu-io-rndrd-4G-128
39,,,4,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:08.114Z,0,power,power_consumption,sensor,cpu-io-rndrd-4G-128
40,,,4,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:10.134Z,0,power,power_consumption,sensor,cpu-io-rndrd-4G-128
41,,,4,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:12.162Z,33.329406890665105,power,power_consumption,sensor,cpu-io-rndrd-4G-128
42,#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
43,#group,false,false,true,true,false,false,false,false,false,true
44,#default,_result,,,,,,,,,
45,,result,table,_start,_stop,_time,_value,_field,_measurement,sensor,target
46,,,5,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:03.071Z,0.2646008651341624,power,power_consumption,sensor,cpu-io-rndrd-500M-128
47,,,5,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:06.101Z,0.1339965724143696,power,power_consumption,sensor,cpu-io-rndrd-500M-128
48,,,5,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:07.107Z,0,power,power_consumption,sensor,cpu-io-rndrd-500M-128
49,,,5,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:08.114Z,0.251889152214756,power,power_consumption,sensor,cpu-io-rndrd-500M-128
50,,,5,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:10.134Z,0.14831999667611118,power,power_consumption,sensor,cpu-io-rndrd-500M-128
51,,,5,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:12.162Z,0,power,power_consumption,sensor,cpu-io-rndrd-500M-128
52,#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
53,#group,false,false,true,true,false,false,false,false,false,true
54,#default,_result,,,,,,,,,
55,,result,table,_start,_stop,_time,_value,_field,_measurement,sensor,target
56,,,6,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:10.134Z,0,power,power_consumption,sensor,cpu-performance-20000-2
57,,,6,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:12.162Z,22.789107088705673,power,power_consumption,sensor,cpu-performance-20000-2
58,#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
59,#group,false,false,true,true,false,false,false,false,false,true
60,#default,_result,,,,,,,,,
61,,result,table,_start,_stop,_time,_value,_field,_measurement,sensor,target
62,,,7,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:03.071Z,1.1632957331022689,power,power_consumption,sensor,cpu-performance-40-rate
63,,,7,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:06.101Z,1.2658560022531224,power,power_consumption,sensor,cpu-performance-40-rate
64,,,7,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:07.107Z,1.3187685534786329,power,power_consumption,sensor,cpu-performance-40-rate
65,,,7,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:08.114Z,1.0204337897791258,power,power_consumption,sensor,cpu-performance-40-rate
66,,,7,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:10.134Z,1.158534562830693,power,power_consumption,sensor,cpu-performance-40-rate
67,#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
68,#group,false,false,true,true,false,false,false,false,false,true
69,#default,_result,,,,,,,,,
70,,result,table,_start,_stop,_time,_value,_field,_measurement,sensor,target
71,,,8,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:03.071Z,9.225929606999971,power,power_consumption,sensor,cpu-seq1
72,,,8,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:06.101Z,10.217429982184658,power,power_consumption,sensor,cpu-seq1
73,,,8,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:07.107Z,10.312256188459475,power,power_consumption,sensor,cpu-seq1
74,,,8,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:08.114Z,10.521878176419767,power,power_consumption,sensor,cpu-seq1
75,,,8,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:10.134Z,10.730659329378364,power,power_consumption,sensor,cpu-seq1
76,,,8,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:12.162Z,0,power,power_consumption,sensor,cpu-seq1
77,#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
78,#group,false,false,true,true,false,false,false,false,false,true
79,#default,_result,,,,,,,,,
80,,result,table,_start,_stop,_time,_value,_field,_measurement,sensor,target
81,,,9,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:03.071Z,0,power,power_consumption,sensor,cpu-seq3
82,,,9,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:06.101Z,0,power,power_consumption,sensor,cpu-seq3
83,,,9,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:07.107Z,0,power,power_consumption,sensor,cpu-seq3
84,,,9,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:08.114Z,0,power,power_consumption,sensor,cpu-seq3
85,,,9,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:10.134Z,0,power,power_consumption,sensor,cpu-seq3
86,,,9,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:27:12.162Z,6.358911320889021,power,power_consumption,sensor,cpu-seq3
87,#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
88,#group,false,false,true,true,false,false,false,false,false,true
89,#default,_result,,,,,,,,,
90,,result,table,_start,_stop,_time,_value,_field,_measurement,sensor,target
91,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:25:55.67Z,34.69619169932539,power,power_consumption,sensor,global
92,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:25:56.674Z,37.24615241713167,power,power_consumption,sensor,global
93,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:25:57.678Z,38.974619254775156,power,power_consumption,sensor,global
94,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:25:58.682Z,53.298051836745834,power,power_consumption,sensor,global
95,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:25:59.686Z,63.17505701973594,power,power_consumption,sensor,global
96,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:00.69Z,43.43462096004668,power,power_consumption,sensor,global
97,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:01.694Z,55.21658207552063,power,power_consumption,sensor,global
98,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:02.698Z,40.57151574598744,power,power_consumption,sensor,global
99,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:03.702Z,39.53157023731925,power,power_consumption,sensor,global
100,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:04.706Z,41.2043356987634,power,power_consumption,sensor,global
101,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:05.71Z,49.46099682309242,power,power_consumption,sensor,global
102,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:06.714Z,49.3661813647496,power,power_consumption,sensor,global
103,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:07.718Z,40.11445764041788,power,power_consumption,sensor,global
104,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:08.722Z,51.20173698115129,power,power_consumption,sensor,global
105,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:09.726Z,45.601083036390385,power,power_consumption,sensor,global
106,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:10.73Z,40.488711708484004,power,power_consumption,sensor,global
107,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:11.734Z,45.92935897545433,power,power_consumption,sensor,global
108,,,10,2023-02-05T09:35:26.783256083Z,2023-02-06T09:35:26.783256083Z,2023-02-06T09:26:13.743Z,43.80552271979974,power,power_consumption,sensor,global
